"ts","scanLastUs","scanMaxUs","scanBudgetUs","scanOverrunCount","queueDepth","queueHighWaterMark","queueCapacity","commandLatencyLastUs","commandLatencyMaxUs"
"2026-02-28T15:39:37.2767370+06:00","1218","16439","500000","0","0","1","16","546","7296"
"2026-02-28T15:39:38.3348566+06:00","1218","16439","500000","0","0","1","16","550","7296"
"2026-02-28T15:39:39.4254059+06:00","1218","16439","500000","0","0","1","16","550","7296"
"2026-02-28T15:39:40.5617699+06:00","1218","16439","500000","0","0","1","16","285","7296"
"2026-02-28T15:39:41.6648659+06:00","1218","16439","500000","0","0","1","16","285","7296"
"2026-02-28T15:39:42.7430363+06:00","1188","16439","250000","0","0","1","16","563","7296"
"2026-02-28T15:39:43.8271649+06:00","1194","16439","500000","0","0","1","16","499","7296"
"2026-02-28T15:39:44.9106719+06:00","1194","16439","500000","0","0","1","16","7076","7296"
"2026-02-28T15:39:46.0401648+06:00","1194","16439","500000","0","0","1","16","494","7296"
"2026-02-28T15:39:47.1097315+06:00","1194","16439","500000","0","0","1","16","494","7296"
"2026-02-28T15:39:48.2269163+06:00","1194","16439","500000","0","0","1","16","494","7296"
"2026-02-28T15:39:49.3287218+06:00","1194","16439","500000","0","0","1","16","638","7296"
"2026-02-28T15:39:50.4803628+06:00","1194","16439","500000","0","0","1","16","638","7296"
"2026-02-28T15:39:51.6165990+06:00","1194","16439","500000","0","0","1","16","638","7296"
"2026-02-28T15:39:52.7310482+06:00","1194","16439","500000","0","0","1","16","630","7296"
"2026-02-28T15:39:53.8112894+06:00","1194","16439","500000","0","0","1","16","633","7296"
"2026-02-28T15:39:54.8761294+06:00","1217","16439","500000","0","0","1","16","5046","7296"
"2026-02-28T15:39:56.7728445+06:00","1206","16439","500000","0","0","1","16","5046","7296"
"2026-02-28T15:39:57.8547682+06:00","1211","16439","500000","0","0","1","16","878","7296"
"2026-02-28T15:39:58.9631889+06:00","1210","16439","500000","0","0","1","16","878","7296"
"2026-02-28T15:40:00.0287615+06:00","1190","16439","500000","0","0","1","16","878","7296"
"2026-02-28T15:40:02.1346299+06:00","1194","16439","500000","0","0","1","16","878","7296"
"2026-02-28T15:40:04.4429040+06:00","1155","16439","250000","0","0","1","16","971","7296"
"2026-02-28T15:40:08.4598232+06:00",,,,,,,,,
"2026-02-28T15:40:10.2186764+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:11.3235829+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:12.3774365+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:13.4405567+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:14.6301268+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:15.6867754+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:16.7745303+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:17.8259892+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:18.9327673+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:19.9871609+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:21.1139622+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:22.3771104+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:23.4909604+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:24.5586748+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:25.6242458+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:26.8594506+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:27.9485553+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:29.2773342+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:30.3282704+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:31.4422375+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:32.5236329+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:33.5778143+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:35.0044251+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:36.0685733+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:37.1701516+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:38.2272016+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:39.3168020+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:40.3881681+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:41.4605060+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:42.5591849+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:43.6414454+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:44.7536537+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:48.7768084+06:00",,,,,,,,,
"2026-02-28T15:40:50.5914630+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:51.7687107+06:00","1206","16439","500000","0","0","1","16","791","7296"
"2026-02-28T15:40:52.9336394+06:00","1206","16439","500000","0","0","1","16","791","7296"
